name,type,start_time,duration,mosi,miso
"SPI","error",0.286004792,4.68e-06,,
"SPI","enable",0.326182392,7.99999998e-09,,
"SPI","result",0.326183288,3.36e-06,0xBA,0x91
"SPI","result",0.326187768,3.352e-06,0x5A,0xFF
"SPI","disable",0.32619164,7.99999998e-09,,
"SPI","enable",0.329206888,8e-09,,
"SPI","result",0.32920689599999997,3.36e-06,0x0,0x0
"SPI","result",0.329210256,3.352e-06,0x01,0x0
"SPI","disable",0.329213608,8e-09,,
"SPI","enable",0.330206888,8e-09,,
"SPI","result",0.33020689599999997,3.36e-06,0x01,0x3
"SPI","result",0.330210256,3.352e-06,0x02,0x7
"SPI","disable",0.330213608,8e-09,,
"SPI","enable",0.331206888,8e-09,,
"SPI","result",0.331206896,3.36e-06,0x02,0x6
"SPI","result",0.331210256,3.352e-06,0x03,0xE
"SPI","disable",0.331213608,8e-09,,
"SPI","enable",0.332206888,8e-09,,
"SPI","result",0.332206896,3.36e-06,0x03,0x9
"SPI","result",0.332210256,3.352e-06,0x04,0x15
"SPI","disable",0.332213608,8e-09,,
"SPI","enable",0.333206888,8e-09,,
"SPI","result",0.333206896,3.36e-06,0x04,0xC
"SPI","result",0.333210256,3.352e-06,0x05,0x1C
"SPI","disable",0.333213608,8e-09,,
"SPI","enable",0.334206888,8e-09,,
"SPI","result",0.334206896,3.36e-06,0x05,0xF
"SPI","result",0.334210256,3.352e-06,0x06,0x23
"SPI","disable",0.334213608,8e-09,,
"SPI","enable",0.335206888,8e-09,,
"SPI","result",0.335206896,3.36e-06,0x06,0x12
"SPI","result",0.335210256,3.352e-06,0x07,0x2A
"SPI","disable",0.335213608,8e-09,,
"SPI","enable",0.336206888,8e-09,,
"SPI","result",0.336206896,3.36e-06,0x07,0x15
"SPI","result",0.336210256,3.352e-06,0x08,0x31
"SPI","disable",0.336213608,8e-09,,
"SPI","enable",0.337206888,8e-09,,
"SPI","result",0.337206896,3.36e-06,0x08,0x18
"SPI","result",0.337210256,3.352e-06,0x09,0x38
"SPI","disable",0.337213608,8e-09,,
"SPI","enable",0.338206888,8e-09,,
